ID,SKU,Category,Group,Type,Name,"Short description",Description,Stock,"Low stock amount","Backorders allowed?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Regular price",Categories,Images,"Meta: vn_name","Meta: vn_price","Meta: vn_contact","Meta: comp_name","Meta: comp_price","Meta: est_freight","Meta: shelf_no","Meta: restock_qty","Meta: days_out"
6334,P-AIR-QCABM,prt,air,variable,"Quick Connect - Airline - Brass - Male","AKA a quick release.","Standard airline male quick connect fitting.",,,0,,,,,,Rig_Supplies,https://oilpatchdepot.com/wp-content/uploads/2024/12/airline-connection-male-pack.jpg,,,,,,,,,
6107,P-AIR-QCASF,prt,air,simple,"Quick Connect - Airline - Stainless - Female","Airline female quick connect. AKA an airline coupler.","An airline quick connect, also known as an air hose quick connect fitting or airline coupler, is a versatile component used to connect air hoses to pneumatic components.",,,0,,,,,,Rig_Supplies,https://oilpatchdepot.com/wp-content/uploads/2025/02/quick-connect-airline-stainless-female.jpg,,,,,,,,,
6110,P-AIR-SPLC,prt,air,variable,"Splice - Airline","Used to join airline hoses.","Two-way brass barb type air hose fittings with stainless steel pipe clamp.",,,0,,,,,,Rig_Supplies,https://oilpatchdepot.com/wp-content/uploads/2025/02/splice-airline-brass-barb.jpg,,,,,,,,,
6105,P-AIR-ALHOS,prt,air,variable,"Hose - Airline","DOT approved airline hose.","Air hoses are made of high-quality Polyamide 12 nylon. They meet D.O.T. FMVSS 571.106 approved, SAE J844 air brake system requirements. With corrosion resistance, high-temperature flexibility, high-pressure resistance and long service life.",,,0,,,,,,Rig_Supplies,https://oilpatchdepot.com/wp-content/uploads/2024/12/airline-hose-roll.jpg,,,,,,,,,
9407,P-AIR-AH38,prt,air,variable,"Air Hose - 3/8"" - 300 psi","Your run of the mill air hose.","This air hose is blended rubber and PVC. Heavy duty, lightweight, flexible, and abrasion resistance. Equipped with 1/4” NPT fittings and quick coupler for connecting to air compressors and tools. No need to buy seperate fittings.",,,0,,,,,,Tools,https://oilpatchdepot.com/wp-content/uploads/2026/02/air-hose-with-connections-red.webp,,,,,,,,,
9266,P-CLM-HCWG,prt,clm,variable,"Hose Clamp - Worm Gear","Hose Clamp","Adjustable, corrosion-resistant clamp designed for a tight, secure hold on hoses and tubing.",,,0,,,,,,Grouped_Parts,https://oilpatchdepot.com/wp-content/uploads/2026/01/clamp-hose-worm-gear.webp,,,,,,,,,
305,P-DHP-PACMP,prt,dhp,variable,"Pump Anode - Complete","Pump Anode intake system reduces corrosion on metal equipment. Both 1"" and 1 1/4"" diameter anodes are available. Our 36"" anode insert works in both sizes.","<ul>
\n 	<li>Our pump anode includes the housing and anode insert.</li>
\n 	<li>The anode attaches to the bottom of a rod pump and helps reduce corrosion.</li>
\n 	<li>Lab test show up to a 50% decrease in metal loss.</li>
\n</ul>",,,0,,,,,,Grouped_Parts,https://oilpatchdepot.com/wp-content/uploads/2025/11/anode-housing.webp,,,,,,,,,
9172,P-DHP-PAHSG,prt,dhp,variable,"Pump Anode - Housing","Pump anode housing.","Housing only for the pump anode.",,,0,,,,,,Grouped_Parts,https://oilpatchdepot.com/wp-content/uploads/2025/11/anode-housing.png,,,,,,,,,
8847,P-DHP-PAINS,prt,dhp,variable,"Pump Anode - Insert","Replacement anode rod.","Anode insert for the pump anode.",,,0,,,,,,Grouped_Parts,https://oilpatchdepot.com/wp-content/uploads/2024/03/anode-replacement-insert.jpg,,,,,,,,,
4732,P-DHP-STNIP,prt,dhp,variable,"Seating Nipples","Affordable Seating Nipples","2 3/8 and 2 7/8 Seating Nipples
\n<ul>
\n 	<li>EUE 8 Round Connection</li>
\n 	<li>2 3/7 ID = 1.780""</li>
\n 	<li>2 7/8 ID = 2.280""</li>
\n</ul>",,,0,,,,,,Parts,https://oilpatchdepot.com/wp-content/uploads/2024/09/seating-nipple-1.jpg,,,,,,,,,
7298,P-DHP-BNS,prt,dhp,variable,"Ball and Seat","Ball and Seat","The ball and seat make up the inner workings of the valves on a pump. They go inside the cages. The balls always go on top of the seat.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/ball_and_seat.jpg,,,,,,,,,
7299,P-DHP-BRLRHBNC,prt,dhp,variable,"Barrel - RH - Brass NiCarb","Heavy Wall Barrel","The barrel is the central piece to the body of a pump. It keeps a seal around the plunger as the plunger strokes through the pump. It is a long tube with the same thread type on each end. RW (thin wall) barrels have box threads. RH (heavy wall) barrels have pin threads.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rh.png,,,,,,,,,
7300,P-DHP-BRLRHP,prt,dhp,variable,"Barrel - RH - Precision Steel","Heavy Wall Barrel","The barrel is the central piece to the body of a pump. It keeps a seal around the plunger as the plunger strokes through the pump. It is a long tube with the same thread type on each end. RW (thin wall) barrels have box threads. RH (heavy wall) barrels have pin threads.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rh.png,,,,,,,,,
7301,P-DHP-BRLRHSNC,prt,dhp,variable,"Barrel - RH - Steel NiCarb","Heavy Wall Barrel","The barrel is the central piece to the body of a pump. It keeps a seal around the plunger as the plunger strokes through the pump. It is a long tube with the same thread type on each end. RW (thin wall) barrels have box threads. RH (heavy wall) barrels have pin threads.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rh.png,,,,,,,,,
7302,P-DHP-BRLRWBNC,prt,dhp,variable,"Barrel - RW - Brass NiCarb","Thin Wall Barrel","The barrel is the central piece to the body of a pump. It keeps a seal around the plunger as the plunger strokes through the pump. It is a long tube with the same thread type on each end. RW (thin wall) barrels have box threads. RH (heavy wall) barrels have pin threads.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rw.png,,,,,,,,,
7303,P-DHP-BRLRWP,prt,dhp,variable,"Barrel - RW - Precision Steel","Thin Wall Barrel","The barrel is the central piece to the body of a pump. It keeps a seal around the plunger as the plunger strokes through the pump. It is a long tube with the same thread type on each end. RW (thin wall) barrels have box threads. RH (heavy wall) barrels have pin threads.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rw.png,,,,,,,,,
7304,P-DHP-BRLRWSNC,prt,dhp,variable,"Barrel - RW - Steel NiCarb","Thin Wall Barrel","The barrel is the central piece to the body of a pump. It keeps a seal around the plunger as the plunger strokes through the pump. It is a long tube with the same thread type on each end. RW (thin wall) barrels have box threads. RH (heavy wall) barrels have pin threads.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rw.png,,,,,,,,,
8062,P-DHP-BRLTHBNC,prt,dhp,variable,"Barrel - TH - Brass NiCarb","Brass nickel carbide tubing pump barrel.","Brass nickel carbide tubing pump barrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rh.png,,,,,,,,,
8010,P-DHP-BRLTHP,prt,dhp,variable,"Barrel - TH - Precision Steel","Precision steel barrel.","Precision steel barrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/barrel_rh.png,,,,,,,,,
7305,P-DHP-BSHSTBCB,prt,dhp,variable,"Bushing - Seat - Barrel Cage - Flat - Brass","Seat Bushing","Only used on top hold down (RHA) style pumps. This part connects the barrel cage or double valve cage to the gas anchor or strainer nipple. The pin threads on top screw into the barrel cage/double valve cage. The box threads on bottom screw into the gas anchor/strainer nipple.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_seat.jpg,,,,,,,,,
7306,P-DHP-BSHSTBCS,prt,dhp,variable,"Bushing - Seat - Barrel Cage - Flat - Stainless","Seat Bushing","Only used on top hold down (RHA) style pumps. This part connects the barrel cage or double valve cage to the gas anchor or strainer nipple. The pin threads on top screw into the barrel cage/double valve cage. The box threads on bottom screw into the gas anchor/strainer nipple.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_seat.jpg,,,,,,,,,
7307,P-DHP-BSHSTBCS2,prt,dhp,variable,"Bushing - Seat - Barrel Cage - Flat - Steel","Seat Bushing","Only used on top hold down (RHA) style pumps. This part connects the barrel cage or double valve cage to the gas anchor or strainer nipple. The pin threads on top screw into the barrel cage/double valve cage. The box threads on bottom screw into the gas anchor/strainer nipple.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_seat.jpg,,,,,,,,,
7308,P-DHP-BSHSGB,prt,dhp,variable,"Bushing - Seating - Brass","Seating Bushing","Only used on top hold down (RHA) style pumps. This part connects the seating assembly to the barrel/extension. The box threads on top scew into the bottom of the mandrel. The pin threads on bottom screw into the barrel or extension.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_seating.png,,,,,,,,,
7309,P-DHP-BSHSGSS,prt,dhp,variable,"Bushing - Seating - Stainless","Seating Bushing","Only used on top hold down (RHA) style pumps. This part connects the seating assembly to the barrel/extension. The box threads on top scew into the bottom of the mandrel. The pin threads on bottom screw into the barrel or extension.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_seating.png,,,,,,,,,
7310,P-DHP-BSHSGS,prt,dhp,variable,"Bushing - Seating - Steel","Seating Bushing","Only used on top hold down (RHA) style pumps. This part connects the seating assembly to the barrel/extension. The box threads on top scew into the bottom of the mandrel. The pin threads on bottom screw into the barrel or extension.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_seating.png,,,,,,,,,
7311,P-DHP-BSHVRB,prt,dhp,variable,"Bushing - Valve Rod - Brass","Valve Rod Bushing","The valve rod bushing it the upper most piece of the plunger assembly. It allows the sucker rods to be connected to the valve rod. The top pin threads fit a sucker rod coupling. The bottom box threads fit the valve rod.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_valve_rod.png,,,,,,,,,
7312,P-DHP-BSHVRS,prt,dhp,variable,"Bushing - Valve Rod - Steel","Valve Rod Bushing","The valve rod bushing it the upper most piece of the plunger assembly. It allows the sucker rods to be connected to the valve rod. The top pin threads fit a sucker rod coupling. The bottom box threads fit the valve rod.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/bushing_valve_rod.png,,,,,,,,,
7313,P-DHP-CGCLDVB,prt,dhp,variable,"Cage - Closed - Double Valve - Flat - Brass","Double Valve Cage","Along with a ball and seat this is the secondary valve on a barrel or plunger assembly. The pin threads on top fit the closed cage. The box threads on bottom fit a mandrel or seat plug. Typically, sizes 1 1/4"" to 1 3/4"" are for the plunger assembly and sizes 2"" and 2 1/2"" are for the barrel assembly.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_double_valve.png,,,,,,,,,
7314,P-DHP-CGCLDVSS,prt,dhp,variable,"Cage - Closed - Double Valve - Flat - Stainless","Double Valve Cage","Along with a ball and seat this is the secondary valve on a barrel or plunger assembly. The pin threads on top fit the closed cage. The box threads on bottom fit a mandrel or seat plug. Typically, sizes 1 1/4"" to 1 3/4"" are for the plunger assembly and sizes 2"" and 2 1/2"" are for the barrel assembly.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_double_valve.png,,,,,,,,,
7315,P-DHP-CGCLDVS,prt,dhp,variable,"Cage - Closed - Double Valve - Flat - Steel","Double Valve Cage","Along with a ball and seat this is the secondary valve on a barrel or plunger assembly. The pin threads on top fit the closed cage. The box threads on bottom fit a mandrel or seat plug. Typically, sizes 1 1/4"" to 1 3/4"" are for the plunger assembly and sizes 2"" and 2 1/2"" are for the barrel assembly.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_double_valve.png,,,,,,,,,
7316,P-DHP-CGCLPEB,prt,dhp,variable,"Cage - Closed - Pin End Plunger - Flat - Brass","Closed Plunger Cage","Along with a ball and seat this is the primary valve on a plunger assembly. It is the travelling valve on RWB and RHA pumps. It is the standing valve on RWT pumps. The top threads fit onto a plunger. The bottom threads fit a double valve cage or a seat plug.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_closed_plunger.png,,,,,,,,,
7317,P-DHP-CGCLPESS,prt,dhp,variable,"Cage - Closed - Pin End Plunger - Flat - Stainless","Closed Plunger Cage","Along with a ball and seat this is the primary valve on a plunger assembly. It is the travelling valve on RWB and RHA pumps. It is the standing valve on RWT pumps. The top threads fit onto a plunger. The bottom threads fit a double valve cage or a seat plug.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_closed_plunger.png,,,,,,,,,
7318,P-DHP-CGCLPES,prt,dhp,variable,"Cage - Closed - Pin End Plunger - Flat - Steel","Closed Plunger Cage","Along with a ball and seat this is the primary valve on a plunger assembly. It is the travelling valve on RWB and RHA pumps. It is the standing valve on RWT pumps. The top threads fit onto a plunger. The bottom threads fit a double valve cage or a seat plug.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_closed_plunger.png,,,,,,,,,
7319,P-DHP-CGCLB,prt,dhp,variable,"Cage - Closed Barrel - Flat - Brass","Closed Barrel Cage","Along with a ball and seat this is the primary valve on a barrel assembly. Is is the standing valve on RWB and RHA pumps. It is the travelling valve on RWT pumps. The pin threads on top fit an RW barrel or an extension. The box threads on bottom fit a double valve cage or a mandrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_closed_barrel.png,,,,,,,,,
7320,P-DHP-CGCLSS,prt,dhp,variable,"Cage - Closed Barrel - Flat - Stainless","Closed Barrel Cage","Along with a ball and seat this is the primary valve on a barrel assembly. Is is the standing valve on RWB and RHA pumps. It is the travelling valve on RWT pumps. The pin threads on top fit an RW barrel or an extension. The box threads on bottom fit a double valve cage or a mandrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_closed_barrel.png,,,,,,,,,
7321,P-DHP-CGCLS,prt,dhp,variable,"Cage - Closed Barrel - Flat - Steel","Closed Barrel Cage","Along with a ball and seat this is the primary valve on a barrel assembly. Is is the standing valve on RWB and RHA pumps. It is the travelling valve on RWT pumps. The pin threads on top fit an RW barrel or an extension. The box threads on bottom fit a double valve cage or a mandrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_closed_barrel.png,,,,,,,,,
9373,P-DHP-CGOPSV3W,prt,dhp,variable,"Cage - Open - Standing Valve - 3 Wing - Flat - Brass","Open standing valve cage.","Open standing valve cage.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/10/cage-open-3-wing.png,,,,,,,,,
8026,P-DHP-CGOPSV3W2,prt,dhp,variable,"Cage - Open - Standing Valve - 3 Wing - Flat - Steel","Open standing valve cage.","Open standing valve cage.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/10/cage-open-3-wing.png,,,,,,,,,
8066,P-DHP-CGOTB,prt,dhp,variable,"Cage – Open Top – Flat – Brass","Top open cage.","Top open cage.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/10/cage-open-top.png,,,,,,,,,
8021,P-DHP-CGOTS,prt,dhp,variable,"Cage - Open Top - Flat - Steel","Top open cage.","Top open cage.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/10/cage-open-top.png,,,,,,,,,
7322,P-DHP-CGSLSS,prt,dhp,variable,"Cage - Sliding Sleeve - Stainless","Sliding Sleeve Cage","The sliding sleeve cage houses the sliding sleeve valve. It goes on the top of a pump with a valve rog guide screwed in to the top and a connector on bottom.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage-sliding-sleeve.jpg,,,,,,,,,
7323,P-DHP-CGSLS,prt,dhp,variable,"Cage - Sliding Sleeve - Steel","Sliding Sleeve Cage","The sliding sleeve cage houses the sliding sleeve valve. It goes on the top of a pump with a valve rog guide screwed in to the top and a connector on bottom.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage-sliding-sleeve.jpg,,,,,,,,,
7324,P-DHP-CONSLB,prt,dhp,variable,"Connector - Sliding Sleeve - Brass","Sliding Sleeve Connector","The sliding sleeve connector is used when a sliding sleeve is placed on a top hold-down pump. It connects the sliding sleeve cage to the mandrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/connector_sliding_sleeve.jpg,,,,,,,,,
7325,P-DHP-CONSLSS,prt,dhp,variable,"Connector - Sliding Sleeve - Stainless","Sliding Sleeve Connector","The sliding sleeve connector is used when a sliding sleeve is placed on a top holddown pump. It connect the sliding sleeve cage to the mandrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/connector_sliding_sleeve.jpg,,,,,,,,,
7326,P-DHP-CONSLS,prt,dhp,variable,"Connector - Sliding Sleeve - Steel","Sliding Sleeve Connector","The sliding sleeve connector is used when a sliding sleeve is placed on a top holddown pump. It connect the sliding sleeve cage to the mandrel.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/connector_sliding_sleeve.jpg,,,,,,,,,
7327,P-DHP-CONUBB,prt,dhp,variable,"Connector - Upper Barrel - Brass","Barrel Connector","The upper barrel connector is primarily used to attached a pin type valve rod guide to a barrel or extension. It can also be used to connect a sliding sleeve to a bottom hold-down pump. The top side connects to the valve rod guide or sliding sleeve cage and the bottom side connects to the barrel or extension.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/connector_upper_barrel.png,,,,,,,,,
7328,P-DHP-CONUBSS,prt,dhp,variable,"Connector - Upper Barrel - Stainless","Barrel Connector","The upper barrel connector is primarily used to attached a pin type valve rod guide to a barrel or extension. It can also be used to connect a sliding sleeve to a bottom hold-down pump. The top side connects to the valve rod guide or sliding sleeve cage and the bottom side connects to the barrel or extension.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/connector_upper_barrel.png,,,,,,,,,
7329,P-DHP-CONUBS,prt,dhp,variable,"Connector - Upper Barrel - Steel","Barrel Connector","The upper barrel connector is primarily used to attached a pin type valve rod guide to a barrel or extension. It can also be used to connect a sliding sleeve to a bottom hold-down pump. The top side connects to the valve rod guide or sliding sleeve cage and the bottom side connects to the barrel or extension.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/connector_upper_barrel.png,,,,,,,,,
7330,P-DHP-CPLSCB,prt,dhp,variable,"Coupling - Seating Cup - Brass",Coupling,"Part of the seating assembly. Connects the mandrel to the strainer nipple. Only found on bottom hold down pumps.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/coupling_seating_cup.jpg,,,,,,,,,
7331,P-DHP-CPLSCSS,prt,dhp,variable,"Coupling - Seating Cup - Stainless",Coupling,"Part of the seating assembly. Connects the mandrel to the strainer nipple. Only found on bottom hold down pumps.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/coupling_seating_cup.jpg,,,,,,,,,
7332,P-DHP-CPLSCS,prt,dhp,variable,"Coupling - Seating Cup - Steel",Coupling,"Part of the seating assembly. Connects the mandrel to the strainer nipple. Only found on bottom hold down pumps.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/coupling_seating_cup.jpg,,,,,,,,,
7333,P-DHP-CPLVRB,prt,dhp,variable,"Coupling - Valve Rod to Pin End Plunger - Brass","Open Plunger Cage","Part of the plunger assembly. Connects the valve rod to the plunger and allows fluid to pass through it. The top threads fit the valve rod. The bottom threads fit the plunger.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_open_plunger.png,,,,,,,,,
7334,P-DHP-CPLVRSS,prt,dhp,variable,"Coupling - Valve Rod to Pin End Plunger - Stainless","Open Plunger Cage","Part of the plunger assembly. Connects the valve rod to the plunger and allows fluid to pass through it. The top threads fit the valve rod. The bottom threads fit the plunger.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_open_plunger.png,,,,,,,,,
7335,P-DHP-CPLVRS,prt,dhp,variable,"Coupling - Valve Rod to Pin End Plunger - Steel","Open Plunger Cage","Part of the plunger assembly. Connects the valve rod to the plunger and allows fluid to pass through it. The top threads fit the valve rod. The bottom threads fit the plunger.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cage_open_plunger.png,,,,,,,,,
7336,P-DHP-CSP#,prt,dhp,variable,"Cup - Seating - Plastic - #100","Seating Cup","Part of the seating assembly, cups fit around the mandrel and are held in place by the spacers and locknut. When installed in a well they seal with the seating nipple. Typically 3 are used - a +30, a +45, and a + 70. These types vary slightly in size. With the +70 on top and the +30 on bottom the seating assembly will have a taper. This will make the best seal with the seating nipple.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/cup_seating.png,,,,,,,,,
7337,P-DHP-EXTB,prt,dhp,variable,"Extension - Brass",Extension,"Part of the barrel assembly, extensions connect to either end of a heavy wall (RH) barrel. The purpose is to give the ends of the plunger room to slide out of the barrel at the top and bottom of the stroke. This is known as a stroke through pump.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/coupling_extension.jpg,,,,,,,,,
7338,P-DHP-EXTS,prt,dhp,variable,"Extension - Steel",Extension,"Part of the barrel assembly, extensions connect to either end of a heavy wall (RH) barrel. The purpose is to give the ends of the plunger room to slide out of the barrel at the top and bottom of the stroke. This is known as a stroke through pump.",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/08/coupling_extension.jpg,,,,,,,,,
7339,P-DHP-GVRBEB,prt,dhp,variable,"Guide - Valve Rod - Box End - Brass","Valve Rod Guide, Box Type","Part of the barrel assembly. Made so that the valve rod can fit through. This part guides the valve rod as the pump strokes while also allowing fluid to pass through. It can have pin threads to fit directly into a barrel (RWB) or box threads to fit a mandrel (RHA).",,,0,,,,,,Rod_Pump,https://oilpatchdepot.com/wp-content/uploads/2025/07/guide_valve_rod_box_type.png,,,,,,,,,
