ID,SKU,Type,Name,Description,Stock,"Low stock amount","Backorders allowed?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Regular price",Images,Parent,"Meta: vn_name","Meta: vn_price","Meta: vn_contact","Meta: comp_name","Meta: comp_price","Meta: est_freight","Meta: shelf_no","Meta: restock_qty"
6877,P-FIT-ANCS402K-1X6GRVXT,variation,"Adapter Nipple - Steel - Coated - Sch 40 - 2,000 psi - 1"" x 6"" - grv x thd","1"" x 6"", grv x thd",1,,0,0.775,6,1.25,1.25,29,,id:6876,Assm006,20.75,,,,0,5B2,1
6878,P-FIT-ANCS402K-2X6GRVXT,variation,"Adapter Nipple - Steel - Coated - Sch 40 - 2,000 psi - 2"" x 6"" - grv x thd","2"" x 6"", grv x thd",2,,0,1.78,6,2.38,2.38,49,,id:6876,Assm006,33.7,,,,0,5B2,1
6880,P-FIT-ANCS803K-1X6GRVXT,variation,"Adapter Nipple - Steel - Coated - Sch 80 - 3,000 psi - 1"" x 6"" - grv x thd","1"" x 6"", grv x thd",1,,0,0.988,6,1.25,1.25,34,,id:6879,Assm006,24,,,,0,5B2,1
6881,P-FIT-ANCS803K-2X6GRVXT,variation,"Adapter Nipple - Steel - Coated - Sch 80 - 3,000 psi - 2"" x 6"" - grv x thd","2"" x 6"", grv x thd",1,,0,2.35,6,2.38,2.38,49,,id:6879,Assm006,37.7,,,,0,5B2,1
6717,P-FIT-ANS402K-1X6GRVXT,variation,"Adapter Nipple - Steel - Sch 40 - 2,000 psi - 1"" x 6"" - grv x thd","1"" x 6"", grv x thd",1,,0,0.775,6,1.25,1.25,19,,id:5321,"Harris Sales",12.25,"jeffh.hsc@gmail.com ",,,0,5C5,1
6716,P-FIT-ANS402K-2X6GRVXT,variation,"Adapter Nipple - Steel - Sch 40 - 2,000 psi - 2"" x 6"" - grv x thd","2"" x 6"", grv x thd",3,,0,1.78,6,2.38,2.38,29,,id:5321,"Harris Sales",23,"jeffh.hsc@gmail.com ",,,0,5C5,2
5424,P-FIT-ANS402K-3X6GRVXT,variation,"Adapter Nipple - Steel - Sch 40 - 2,000 psi - 3"" x 6"" - grv x thd","3"" x 6"", grv x thd \n",2,1,0,4,,,,20.93,,id:5321,"Harris Sales",15.5,"jeffh.hsc@gmail.com ",Arrow,57.39,0,5C5,2
6719,P-FIT-ANS803K-1X6GRVXT,variation,"Adapter Nipple - Steel - Sch 80 - 3,000 psi - 1"" x 6"" - grv x thd","1"" x 6"", grv x thd",1,,0,0.988,6,1.25,1.25,19,,id:5322,"Harris Sales",15.5,"jeffh.hsc@gmail.com ",,,0,5C5,1
6718,P-FIT-ANS803K-2X6GRVXT,variation,"Adapter Nipple - Steel - Sch 80 - 3,000 psi - 2"" x 6"" - grv x thd","2"" x 6"", grv x thd",2,,0,2.35,6,2.38,2.38,39,,id:5322,"Harris Sales",27,"jeffh.hsc@gmail.com ",,,0,5C5,2
5425,P-FIT-ANS803K-3X6GRVXT,variation,"Adapter Nipple - Steel - Sch 80 - 3,000 psi - 3"" x 6"" - grv x thd","3"" x 6"", grv x thd \n",1,,0,4,,,,41.72,,id:5322,"Harris Sales",30.9,"jeffh.hsc@gmail.com ",Arrow,114.78,0,5C5,1
6097,S-ATF-ABAFC-32OZ,variation,"Air Brake Anti Freeze - CRC - 32 oz","32 oz",3,1,0,1.84,9,4,3.5,24,,id:6096,Amazon,16.63,https://www.amazon.com/s?k=air+break+anti+freeze,,,0,6C2,4
6100,P-RIG-ADMPV-R6,variation,"Air Dump Valve - R6",R6,0,,0,,,,,64.636,,id:6099,"Brooks Diesel Service",58.76,brooksdieselservice@gmail.com,,,0,3B4,1
6101,P-RIG-ADMPV-R8,variation,"Air Dump Valve - R8",R8,0,,0,,,,,91.564,,id:6099,"Brooks Diesel Service",83.24,brooksdieselservice@gmail.com,,,0,3B4,1
9410,P-AIR-AH38-25FT,variation,"Air Hose - 3/8"" - 300 psi - 25' w/ 1/4"" brass connections","25' w/ 1/4"" brass connections",0,1,0,2.93,10,10,4,34,,id:9407,,,,,,,,
9411,P-AIR-AH38-50FT,variation,"Air Hose - 3/8"" - 300 psi - 50' w/ 1/4"" brass connections","50' w/ 1/4"" brass connections",10,1,0,5.41,11,11,4,44,,id:9407,Amazon,29.99,https://www.amazon.com/YOTOO-Lightweight-All-Weather-Flexibility-Restrictors/dp/B08R1HY6G2/ref=sr_1_1_sspa?crid=3MM5X2Q277ZUL&amp;dib=eyJ2IjoiMSJ9.nDWM6ItwtzBYAyWdBHMePIQWLe67lOFivQ6KdBH1wDAorsAMPQUjk9WCIB3SfIO-L9kOlwwFoTmqVs9RP4DwStvIAqJ4eE_tbtCgpoTcv3rQ3mKOJ5SnIKa-GWQGgNg8-_Af7cVF56yb_XnXazVGSzVmdgtZNcCt5BY34fsWf_uNlxl88cIF20I8VsQthsLuM-8ddHstbTEOdPVZcnbnQ_g9w00WACYZwoZ_Zl74Z-DpeZh1c1Q2fiFGNDaLdCLMN3G7a4PcADZOWs7ColhcMYZCIQnYtlrPBUS7WqC09BQ.ATOgJIqPvr_8qia9oIHrtrz-fljWiTJU2VpCavyWOLE&amp;dib_tag=se&amp;keywords=air+hose&amp;qid=1770755397&amp;sprefix=air+hose%2Caps%2C169&amp;sr=8-1-spons&amp;sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&amp;psc=1,,,0,7A4,4
6359,P-RIG-AIRSW-TW1TYP,variation,"Air Switch - TW1 type","TW1 type",0,,0,,,,,9.119,,id:6310,"Brooks Diesel Service",8.29,brooksdieselservice@gmail.com,,,0,,1
4199,S-GRS-AGPL1232-1PK,variation,"Almatek® General Purpose Lubricant 1232 - 1 Tube","1 14oz Tube",0,,0,0.89,,,,12,,id:4010,"Lubrication Engineers",9.37,v.tofani@le-inc.com,,,0,6C1,0
4200,S-GRS-AGPL1232-10PK,variation,"Almatek® General Purpose Lubricant 1232 - 10 Tubes","10 14oz Tubes",4,,0,8.75,,,,115,,id:4010,"Lubrication Engineers",93.68,v.tofani@le-inc.com,,,0,6C1,4
5845,S-CMP-APLD-1QT,variation,"Aluminum Paste Leak Detector - 1 qt","1 quart",3,2,0,2.33,5,4.25,4.25,39,,id:5844,"Flynt Paint",19,"jlove@automaticgas.com ",Arrow,57.06,2.238,3A1,20
6963,T-WCH-APWRN-12,variation,"Aluminum Pipe Wrench - 12""","12 Inch",35,4,0,1.39,10.5,3,1.25,9,,id:4373,"Yantai Newstart Machinery Co., Ltd",4.26,"Dany Zhang",,,0.794593664,2A3,36
4374,T-WCH-APWRN-18,variation,"Aluminum Pipe Wrench - 18""","18 Inch",15,4,0,3.04,16,3.75,1.5,19,,id:4373,"Yantai Newstart Machinery Co., Ltd",8.52,"Dany Zhang",Arrow,98.55,4.767561983,2A3,12
4375,T-WCH-APWRN-24,variation,"Aluminum Pipe Wrench - 24""","24 Inch",12,4,0,4.77,21.5,4.25,1.5,29,,id:4373,"Yantai Newstart Machinery Co., Ltd",13.19,"Dany Zhang",Arrow,158.58,8.856921488,2A3,10
4376,T-WCH-APWRN-36,variation,"Aluminum Pipe Wrench - 36""","36 Inch",6,2,0,8.26,30.5,5,2,69,,id:4373,"Yantai Newstart Machinery Co., Ltd",23.96,"Dany Zhang",,,26.81473829,2A4,6
7799,T-WCH-APWRN-48,variation,"Aluminum Pipe Wrench - 48""","48 Inch",4,1,0,15.3,42,7,3,99,,id:4373,"Yantai Newstart Machinery Co., Ltd",45.06,"Dany Zhang",,,23.75129354,2A4,4
6424,S-ATF-AFCON-1G,variation,"Antifreeze - Concentrate - 1 gal","1 gal",0,2,0,9.63,12,3.5,3.5,14,,id:6422,"Hooten Oil",9.902,https://hootenoil.cimproduction.com/,,,0,6C2,6
5739,S-ATF-AF50-1G,variation,"Antifreeze - Prediluted 50/50 - 1 gal","<p>1 gal</p>\n",15,4,0,9.24,12,3.5,3.5,9,https://oilpatchdepot.com/wp-content/uploads/2024/12/anti-freeze-service-pro-5050-prediluted.jpg,id:5382,"Hooten Oil",4.7733,https://hootenoil.cimproduction.com/,,,0,6C2,12
291,A-CON-CPNL-PNL,variation,"Autobailer Control Panel - Panel","Control Panel",,,0,40,,,,5000,,id:290,,,,,,,,
292,A-CON-CPNL-PNLM,variation,"Autobailer Control Panel - Panel w/ Modem","Control Panel w/ Cellular Modem",,,0,40,,,,6000,,id:290,,,,,,,,
4469,A-MCH-ABMCH-FT,variation,"AutoBailer Machine - Full-time","Full-time Autobailer",,,0,,,,,5000,,id:4465,,,,,,,,
4468,A-MCH-ABMCH-PT,variation,"AutoBailer Machine - Part-time","Part-time Autobailer",,,0,,,,,5500,,id:4465,,,,,,,,
6357,P-RIG-BKOFT-ROD,variation,"Back Off Tool - Rods - Rod Back Off Tool","Rod Back Off Tool",1,,0,29.9,25,7.25,3.75,1177,,id:6311,"CF Services",1070,mike5392@hotmail.com,,,0,3B4,1
7365,P-DHP-BNS-112ALLS1,variation,"Ball and Seat - 1 1/2"" Alloy Seat - 15/16"" Alloy Ball","1 1/2"" Alloy Seat, 15/16"" Alloy Ball",1,2,0,0.35,2.5,1.5,1.5,69,,id:7298,"Precision International",46.12,andrew.cook@prec-int.com,,,0,,4
7740,P-DHP-BNS-112ALLS12,variation,"Ball and Seat - 1 1/2"" Alloy Seat - 15/16"" Alloy Ball - used","1 1/2"" Alloy Seat, 15/16"" Alloy Ball, used",,,0,0.25,,,,34,,id:7298,,,,,,,,0
7366,P-DHP-BNS-112ALLS7,variation,"Ball and Seat - 1 1/2"" Alloy Seat - 7/8"" Alloy Ball","1 1/2"" Alloy Seat, 7/8"" Alloy Ball",0,2,0,0.35,2.5,1.5,1.5,69,,id:7298,"Precision International",42.35,andrew.cook@prec-int.com,,,0,,4
7367,P-DHP-BNS-112CSEA1,variation,"Ball and Seat - 1 1/2"" Carbide Seat - 15/16"" Alloy Ball","1 1/2"" Carbide Seat, 15/16"" Alloy Ball",1,1,0,0.35,2.5,1.5,1.5,89,,id:7298,"Precision International",44.83,andrew.cook@prec-int.com,,,0,,2
7368,P-DHP-BNS-112CSEA7,variation,"Ball and Seat - 1 1/2"" Carbide Seat - 7/8"" Alloy Ball","1 1/2"" Carbide Seat, 7/8"" Alloy Ball",1,1,0,0.313,2,2,2,89,,id:7298,"Harris Sales",44.7,"jeffh.hsc@gmail.com ",,,0,,2
9501,P-DHP-BNS-112SSS78,variation,"Ball and Seat - 1 1/2"" SS Seat - 7/8"" SS Ball - used","1 1/2"" SS Seat, 7/8"" SS Ball, used",2,,0,0.25,,,,15,,id:7298,,,,,,,,0
7369,P-DHP-BNS-114ALLS1,variation,"Ball and Seat - 1 1/4"" Alloy Seat - 11/16"" Alloy Ball","1 1/4"" Alloy Seat, 11/16"" Alloy Ball",1,,0,0.125,1,1,1,54,,id:7298,"Harris Sales",38.65,"jeffh.hsc@gmail.com ",,,0,,0
7370,P-DHP-BNS-114ALLS3,variation,"Ball and Seat - 1 1/4"" Alloy Seat - 3/4"" Alloy Ball","1 1/4"" Alloy Seat, 3/4"" Alloy Ball",2,,0,0.187,1,1,1,54,,id:7298,"Harris Sales",38.65,"jeffh.hsc@gmail.com ",,,0,,0
7371,P-DHP-BNS-114CSEA1,variation,"Ball and Seat - 1 1/4"" Carbide Seat - 11/16"" Alloy Ball","1 1/4"" Carbide Seat, 11/16"" Alloy Ball",1,,0,0.187,1,1,1,69,,id:7298,"Harris Sales",36.25,"jeffh.hsc@gmail.com ",,,0,,1
7372,P-DHP-BNS-114CSEA3,variation,"Ball and Seat - 1 1/4"" Carbide Seat - 3/4"" Alloy Ball","1 1/4"" Carbide Seat, 3/4"" Alloy Ball",1,,0,0.25,,,,69,,id:7298,"Harris Sales",50.7,"jeffh.hsc@gmail.com ",,,0,,1
7373,P-DHP-BNS-134ALLS1,variation,"Ball and Seat - 1 3/4"" Alloy Seat - 1 1/8"" Alloy Ball","1 3/4"" Alloy Seat, 1 1/8"" Alloy Ball",6,,0,0.25,,,,99,,id:7298,"Harris Sales",72.45,"jeffh.hsc@gmail.com ",,,0,,1
7739,P-DHP-BNS-134ALLS12,variation,"Ball and Seat - 1 3/4"" Alloy Seat - 1 1/8"" Alloy Ball - used","1 3/4"" Alloy Seat - 1 1/8"" Alloy Ball - used",,,0,0.25,,,,49,,id:7298,,,,,,,,0
7374,P-DHP-BNS-134ALLS13,variation,"Ball and Seat - 1 3/4"" Alloy Seat - 1"" Alloy Ball","1 3/4"" Alloy Seat, 1"" Alloy Ball",4,,0,0.25,,,,99,,id:7298,"Harris Sales",72.45,"jeffh.hsc@gmail.com ",,,0,,1
7375,P-DHP-BNS-134CSEA1,variation,"Ball and Seat - 1 3/4"" Carbide Seat - 1 1/8"" Alloy Ball","1 3/4"" Carbide Seat, 1 1/8"" Alloy Ball",2,,0,0.25,,,,94,,id:7298,"Harris Sales",70.1,"jeffh.hsc@gmail.com ",,,0,,1
7376,P-DHP-BNS-134CSEA12,variation,"Ball and Seat - 1 3/4"" Carbide Seat - 1"" Alloy Ball","1 3/4"" Carbide Seat, 1"" Alloy Ball",2,,0,0.25,,,,94,,id:7298,"Harris Sales",70.1,"jeffh.hsc@gmail.com ",,,0,,1
9502,P-DHP-BNS-134SSS1S,variation,"Ball and Seat - 1 3/4"" SS Seat - 1"" SS Ball - used","1 3/4"" SS Seat, 1"" SS Ball, used",2,,0,0.25,,,,19,,id:7298,,,,,,,,0
7377,P-DHP-BNS-2ALLSEA1,variation,"Ball and Seat - 2"" Alloy Seat - 1 1/4"" Alloy Ball","2"" Alloy Seat, 1 1/4"" Alloy Ball",2,,0,0.25,,,,429,,id:7298,"Harris Sales",94.25,"jeffh.hsc@gmail.com ",,,0,,1
7378,P-DHP-BNS-2ALLSEA12,variation,"Ball and Seat - 2"" Alloy Seat - 1 1/8"" Alloy Ball","2"" Alloy Seat, 1 1/8"" Alloy Ball",2,,0,0.25,,,,429,,id:7298,"Harris Sales",94.25,"jeffh.hsc@gmail.com ",,,0,,1
7379,P-DHP-BNS-2CARSEA1,variation,"Ball and Seat - 2"" Carbide Seat - 1 1/4"" Alloy Ball","2"" Carbide Seat, 1 1/4"" Alloy Ball",0,,0,0.25,,,,139,,id:7298,"Harris Sales",103.95,"jeffh.hsc@gmail.com ",,,0,,0
7380,P-DHP-BNS-2CARSEA12,variation,"Ball and Seat - 2"" Carbide Seat - 1 1/8"" Alloy Ball","2"" Carbide Seat, 1 1/8"" Alloy Ball",0,,0,0.25,,,,139,,id:7298,"Harris Sales",103.95,"jeffh.hsc@gmail.com ",,,0,,0
5426,P-VLV-BVBFP-1N,variation,"Ball Valve - Brass - Fullport - 600 psi - 1""","1""  \n",1,,0,1.5,,,,19,,id:5323,"MM Equipment",11.21,dustin@mandmequipment.com,Arrow,47.47,0,6B2,0
6017,P-VLV-BVBFP-1HEADUT,variation,"Ball Valve - Brass - Fullport - 600 psi - 1"" - heavy duty","1"", heavy duty",3,2,0,1.63,3.5,3,2,29,,id:5323,"MM Equipment",19.24,dustin@mandmequipment.com,Arrow,60.24,0,6B2,6
5427,P-VLV-BVBFP-14N,variation,"Ball Valve - Brass - Fullport - 600 psi - 1/4""","1/4"" \n",5,1,0,0.375,4.5,2.5,0.75,5,,id:5323,"MM Equipment",3.56,dustin@mandmequipment.com,Arrow,22.86,0,6B2,4
5428,P-VLV-BVBFP-114N,variation,"Ball Valve - Brass - Fullport - 600 psi - 1-1/4""","1 1/4""\n",4,1,0,1.65,6,4,2,23,,id:5323,"MM Equipment",16.64,dustin@mandmequipment.com,Arrow,79.64,0,6B2,2
5429,P-VLV-BVBFP-2N,variation,"Ball Valve - Brass - Fullport - 600 psi - 2""","2""  \n",0,,0,4,,,,49,,id:5323,"MM Equipment",33.3,dustin@mandmequipment.com,Arrow,149.87,0,6B2,0
6552,P-VLV-BVBFP-2HEADUT,variation,"Ball Valve - Brass - Fullport - 600 psi - 2"" - heavy duty","2"", heavy duty",1,4,0,5.86,6,5,4,99,,id:5323,"MM Equipment",67.66,dustin@mandmequipment.com,Arrow,149.87,0,6B2,8
5430,P-VLV-BVBFP-3N,variation,"Ball Valve - Brass - Fullport - 600 psi - 3""","3"" \n",0,,0,12,,,,159,,id:5323,"MM Equipment",110,dustin@mandmequipment.com,Arrow,290.81,0,6B2,0
6551,P-VLV-BVBFP-3HEADUT,variation,"Ball Valve - Brass - Fullport - 600 psi - 3"" - heavy duty","3"", heavy duty",2,1,0,11.1,13.5,7.5,3,184,,id:5323,"MM Equipment",136.01,dustin@mandmequipment.com,,,0,6B2,4
5431,P-VLV-BVBFP-34N,variation,"Ball Valve - Brass - Fullport - 600 psi - 3/4""","3/4"" \n",4,1,0,0.7,5,3,1,19,,id:5323,"MM Equipment",8.06,dustin@mandmequipment.com,Arrow,37.71,0,6B2,4
5432,P-VLV-BVBFP-38N,variation,"Ball Valve - Brass - Fullport - 600 psi - 3/8 ""","3/8"" \n",4,4,0,0.5,,,,6,,id:5323,"MM Equipment",3.36,dustin@mandmequipment.com,Arrow,22.86,0,6B2,4
5433,P-VLV-BVBFP-4N,variation,"Ball Valve - Brass - Fullport - 600 psi - 4""","4""  \n",1,,0,20,,,,259,,id:5323,"MM Equipment",164.06,dustin@mandmequipment.com,Arrow,916.61,0,6B2,0
5434,P-VLV-BVBFP-4HEAD,variation,"Ball Valve - Brass - Fullport - 600 psi - 4""- heavy duty","4, heavy duty\n",2,,0,20,,,,279,,id:5323,"MM Equipment",192.65,dustin@mandmequipment.com,Arrow,607.76,0,6B2,1
6751,P-VLV-BVDIFP-2200PSI,variation,"Ball Valve - Ductile Iron - Fullport - 2"" - 2000 psi","2"", 2000 psi",2,1,0,17.7,13,9,5,199,,id:5324,"MM Equipment",127.43,dustin@mandmequipment.com,,,0,6B2,2
5435,P-VLV-BVDIFP-3100PSI,variation,"Ball Valve - Ductile Iron - Fullport - 3"" - 1000 psi","3"", 1000 psi\n",1,,0,31.2,19.5,10,10,369,,id:5324,"MM Equipment",275,dustin@mandmequipment.com," Arrow ",835.66,0,6B2,1
5436,P-VLV-BVDIRP-2100PSI,variation,"Ball Valve - Ductile Iron - Reg Port - 2"" - 1000 psi","2"", 1000 psi\n",2,,0,11.6,12,8,4,89,,id:5325,"MM Equipment",62.1,dustin@mandmequipment.com,Arrow,97.5,0,6B2,1
6062,P-VLV-BVDIRP-2150PSI,variation,"Ball Valve - Ductile Iron - Reg Port - 2"" - 1500 psi","2"", 1500 psi",2,1,0,11.5,11.5,7.5,7.5,99,,id:5325,"MM Equipment",62.1,dustin@mandmequipment.com," Arrow ",163.8,0,6B2,3
6553,P-VLV-BVDIRP-3100PSI,variation,"Ball Valve - Ductile Iron - Reg Port - 3"" - 1000 psi","3"", 1000 psi",2,1,0,18.1,7.5,6.5,6.5,139,,id:5325,"MM Equipment",99.36,dustin@mandmequipment.com,,,0,6B2,2
6207,PRT-VLV-BVDIUS-2NPT100P,variation,"Ball Valve - Ductile Iron - US Made - 2"" npt - 1000 psi","2"" npt, 1000 psi",0,,0,,,,,219,,id:6206,,,,,,,6B2,
8513,P-VLV-BVNABFP-1300PSI,variation,"Ball Valve - Ni Al Bronze - Fullport - 1"" - 3000 psi","1"", 3000 psi",1,,0,4.21,7,7,7,249,,id:8512,"McCarty Equipment",168.81,stacy.spiegel@mccartyequipment.com,,,0,6B2,1
8514,P-VLV-BVNABFP-2200PSI,variation,"Ball Valve - Ni Al Bronze - Fullport - 2"" - 2000 psi","2"", 2000 psi",1,,0,20.8,13.5,8.5,8.5,589,,id:8512,"McCarty Equipment",423.85,stacy.spiegel@mccartyequipment.com,,,0,6B2,1
5437,P-VLV-BVSS316F-1200PSI,variation,"Ball Valve - Stainless - 316ss - Fullport - 1"" - 2000 psi","1"" , 2000 psi",2,1,0,2.21,8,4.5,2,69,,id:5326,"MM Equipment",35.13,dustin@mandmequipment.com,Arrow,175.08,0,6B2,2
5438,P-VLV-BVSS316F-2200PSI,variation,"Ball Valve - Stainless - 316ss - Fullport - 2"" - 2000 psi","2"", 2000 psi",1,,0,8.6,10,4,4,189,,id:5326,"MM Equipment",109.73,dustin@mandmequipment.com,Arrow,234,0,6B2,1
6752,P-VLV-BVSS316F-3100PSI,variation,"Ball Valve - Stainless - 316ss - Fullport - 3"" - 1000 psi","3"", 1000 psi",1,,0,21.9,16,9,6,419,,id:5326,"MM Equipment",301.62,dustin@mandmequipment.com,,,0,6B2,1
5439,P-VLV-BVSSWFP-1200PSI,variation,"Ball Valve - Steel - Seal Weld - Fullport - 1"" - 2000 psi","1"", 2000 psi\n",2,2,0,2,,,,33.45,,id:5327,"MM Equipment",24.78,dustin@mandmequipment.com,Arrow,67.76,0,6B2,2
5440,P-VLV-BVSSWFP-2200PSI,variation,"Ball Valve - Steel - Seal Weld - Fullport - 2"" - 2000 psi","2"", 2000 psi\n",4,2,0,8.52,11,4,4,96.16,,id:5327,"MM Equipment",74,dustin@mandmequipment.com,Arrow,228.24,0,6B2,4
6753,P-VLV-BVSSWFP-3100PSI,variation,"Ball Valve - Steel - Seal Weld - Fullport - 3"" - 1000 psi","3"", 1000 psi",1,,0,22,16,9,6,339,,id:5327,"MM Equipment",250.58,dustin@mandmequipment.com,,,0,6B2,1
7381,P-DHP-BRLRHBNC-212X134X,variation,"Barrel - RH - Brass NiCarb - 2 1/2"" x 1 3/4"" x 4'","2 1/2"" x 1 3/4"" x 4'",0,,0,15,,,,779,,id:7299,"Harris Sales",575,"jeffh.hsc@gmail.com ",,,0,,0
7382,P-DHP-BRLRHBNC-212X134X2,variation,"Barrel - RH - Brass NiCarb - 2 1/2"" x 1 3/4"" x 6'","2 1/2"" x 1 3/4"" x 6'",0,,0,15,,,,1079,,id:7299,"Harris Sales",795,"jeffh.hsc@gmail.com ",,,0,,0
7383,P-DHP-BRLRHBNC-2X112X6,variation,"Barrel - RH - Brass NiCarb - 2"" x 1 1/2"" x 6'","2"" x 1 1/2"" x 6'",0,,0,15,,,,1079,,id:7299,"Harris Sales",795,"jeffh.hsc@gmail.com ",,,0,,0
7384,P-DHP-BRLRHBNC-2X114X4,variation,"Barrel - RH - Brass NiCarb - 2"" x 1 1/4"" x 4'","2"" x 1 1/4"" x 4'",0,,0,15,,,,449,,id:7299,"Harris Sales",334,"jeffh.hsc@gmail.com ",,,0,,0
7385,P-DHP-BRLRHBNC-2X114X6,variation,"Barrel - RH - Brass NiCarb - 2"" x 1 1/4"" x 6'","2"" x 1 1/4"" x 6'",0,,0,15,,,,699,,id:7299,"Harris Sales",515,"jeffh.hsc@gmail.com ",,,0,,0
7386,P-DHP-BRLRHBNC-2X114X8,variation,"Barrel - RH - Brass NiCarb - 2"" x 1 1/4"" x 8'","2"" x 1 1/4"" x 8'",0,,0,15,,,,919,,id:7299,"Harris Sales",678.25,"jeffh.hsc@gmail.com ",,,0,,0
7387,P-DHP-BRLRHP-2X114X4,variation,"Barrel - RH - Precision Steel - 2"" x 1 1/4"" x 4'","2"" x 1 1/4"" x 4'",1,,0,11.156,48,2,2,169,,id:7300,"Harris Sales",95.25,"jeffh.hsc@gmail.com ",,,0,,1
7388,P-DHP-BRLRHP-2X114X6,variation,"Barrel - RH - Precision Steel - 2"" x 1 1/4"" x 6'","2"" x 1 1/4"" x 6'",1,,0,15,,,,199,,id:7300,"Harris Sales",146,"jeffh.hsc@gmail.com ",,,0,,1
7389,P-DHP-BRLRHP-2X114X8,variation,"Barrel - RH - Precision Steel - 2"" x 1 1/4"" x 8'","2"" x 1 1/4"" x 8'",1,,0,15,,,,249,,id:7300,"Harris Sales",184,"jeffh.hsc@gmail.com ",,,0,,1
